"Novel face memory
score out of 72","Famous face memory
score out of 28","Face perception
score out of 60","Celebrity memory
self-rating","Celebrity forgetting
self-report","Pop media use
self-report"
48,13,40.67,4,2,3
53,16,30.67,4,2,3
58,20,34,4,2,3
64,24,40.67,4,2,3
67,24,42.67,4,2,3
53,24,32,5,2,3
39,14,18,3,1,3
40,13,26.67,4,1,3
56,20,36,4,1,3
64,26,40,5,1,3
72,26,41.33,5,1,3
55,8,30.67,5,5,4
71,18,33.33,3,4,4
67,26,36.67,3,2,4
48,13,25.33,4,2,4
44,13,31.33,4,2,4
70,27,40,4,2,4
65,17,39.33,5,2,4
56,18,36,5,1,5
61,25,35.33,5,1,5
50,15,38.67,3,3,1
38,13,22.67,3,2,1
57,23,33.33,4,1,1
66,11,34,5,4,2
65,17,39.33,4,3,2
67,19,40,4,3,2
52,19,16,3,2,2
58,19,26.67,3,2,2
60,10,40.67,4,2,2
47,27,36,4,2,2
50,4,30.67,2,1,2
63,15,40.67,3,1,2
55,23,35.33,3,1,2
43,6,32,3,5,3
47,16,40.67,4,3,3
65,26,36,4,3,3
51,18,23.33,3,2,3
61,21,36.67,4,2,3
71,22,37.33,4,2,3
43,23,32.67,4,2,3
65,27,40,4,2,3
43,12,36.67,3,1,3
54,16,30.67,4,1,3
42,19,31.33,4,1,3
65,13,36,5,1,3
55,8,40,4,2,4
57,25,38,5,2,4
63,26,40.67,5,2,4
36,0,28,3,1,4
56,20,26.67,4,1,4
55,24,33.33,4,1,4
67,27,36.67,4,1,4
72,27,42.67,4,1,4
65,22,38,5,1,4
71,25,40,5,1,4
40,10,27.33,4,5,5
58,17,34.67,4,1,5
53,3,37.33,4,2,1
57,6,36,3,4,2
51,13,34,3,3,2
47,18,33.33,3,2,2
43,11,35.33,4,2,2
66,23,40.67,5,2,2
70,19,41.33,5,1,2
62,14,41.33,4,2,3
59,19,39.33,4,2,3
69,24,38.67,4,2,3
37,0,34,4,1,3
51,21,34,4,1,3
56,24,35.33,4,3,4
60,26,38.67,4,2,4
60,27,34,5,2,5
66,20,20,4,4,1
68,16,40.67,4,2,1
49,11,31.33,3,3,3
62,23,42.67,4,2,3
60,20,38,4,3,4
48,22,35.33,4,2,4
42,6,16,3,2,1
55,16,39.33,5,4,3
43,22,34.67,3,3,3
46,18,32.67,3,1,4
43,22,39.33,5,1,4
53,20,30.67,4,3,5
34,5,31.33,3,4,3
59,19,35.33,5,2,3
65,21,36,5,1,3
50,22,38,4,1,2
33,1,28,4,4,1
44,10,29.33,3,3,1
42,8,35.33,4,3,1
58,16,37.33,5,3,1
61,2,41.33,3,2,1
53,6,32.67,3,2,1
52,8,40.67,4,2,1
46,16,38.67,4,2,1
52,20,38,5,2,1
51,3,31.33,2,4,2
48,5,38,2,4,2
38,3,27.33,3,3,2
63,12,38.67,3,3,2
61,13,35.33,5,3,2
38,21,36.67,3,2,2
50,15,36,4,2,2
63,23,37.33,4,2,2
56,26,33.33,4,2,2
67,21,44.67,3,1,2
55,15,36.67,4,1,2
50,17,25.33,3,5,3
65,14,35.33,3,4,3
54,17,36.67,3,4,3
58,12,26,3,3,3
44,17,27.33,3,3,3
47,18,38,5,3,3
42,5,16,3,2,3
46,12,38,3,2,3
62,14,30,3,2,3
58,19,42.67,3,2,3
69,23,37.33,3,2,3
63,22,44.67,4,2,3
66,23,41.33,4,2,3
71,26,40,4,2,3
47,27,40,4,2,3
56,17,41.33,5,2,3
70,13,38.67,3,1,3
37,4,28.67,4,1,3
49,13,34,4,1,3
47,16,32.67,4,1,3
67,21,43.33,4,1,3
58,22,36,4,1,3
51,24,40.67,4,1,3
49,1,31.33,4,4,4
37,3,27.33,2,3,4
70,20,41.33,4,1,4
47,25,38,4,1,4
61,21,40,5,1,4
50,26,34,4,2,5
67,16,37.33,5,1,5
54,15,32.67,3,3,1
56,20,41.33,4,2,1
41,23,16.67,3,1,1
65,22,35.33,4,1,1
54,2,35.33,3,4,2
46,15,29.33,3,4,2
61,14,29.33,4,3,2
61,26,38,5,3,2
44,18,34.67,4,4,3
47,8,31.33,3,3,3
65,17,32.67,4,3,3
69,13,42,4,2,3
60,24,28,4,2,3
57,5,39.33,5,2,3
48,16,36.67,4,1,3
52,17,36,4,1,3
70,17,43.33,4,1,3
64,18,34.67,4,1,3
55,23,35.33,4,4,4
41,7,29.33,2,3,4
61,21,36.67,4,3,4
44,21,32,5,2,4
56,22,30.67,5,2,4
49,19,29.33,5,1,4
56,19,36,5,1,4
66,19,34,4,2,5
48,2,34,4,2,1
55,17,36,5,1,1
56,22,32,5,1,1
33,2,24.67,2,5,2
28,0,17.33,2,4,2
59,25,39.33,3,3,2
49,22,36,4,3,2
61,24,42,4,3,2
64,12,36.67,3,2,2
53,12,25.33,4,2,2
38,0,36,5,5,3
68,23,35.33,4,4,3
40,17,31.33,4,3,3
44,22,39.33,4,3,3
56,0,30.67,3,2,3
57,23,38,3,2,3
48,11,31.33,4,2,3
62,17,39.33,4,1,3
67,25,16,4,1,3
66,21,32,5,1,3
40,7,29.33,4,4,4
66,15,42.67,4,4,4
57,16,34.67,3,3,4
49,13,40,4,2,4
37,5,29.33,5,1,4
71,17,43.33,5,1,4
34,0,26,3,4,5
37,2,17.33,3,3,1
46,14,30,4,2,2
42,3,29.33,5,2,2
40,10,36,5,2,2
57,9,34,4,2,3
49,20,36.67,4,2,3
41,21,23.33,4,1,3
52,24,41.33,4,1,3
63,27,40,4,1,3
49,27,19.33,4,2,4
49,15,36,4,2,5
63,18,35.33,4,1,5
55,26,27.33,4,2,3
56,17,31.33,2,5,2
32,5,26.67,3,4,2
46,0,33.33,3,2,2
61,27,42.67,5,2,5
56,10,34.67,5,1,5
67,17,45.33,5,1,5
57,2,40,5,2,2
39,11,39.33,2,4,1
44,17,30,3,4,1
59,21,32.67,4,3,1
55,19,33.33,5,2,1
56,27,40,5,5,2
44,15,31.33,4,3,2
45,17,34.67,4,1,2
56,16,36,4,4,3
51,13,39.33,4,2,3
62,22,31.33,5,2,3
53,13,30,3,5,2
48,9,36,4,3,3
29,6,16,3,4,1
44,16,32.67,3,3,2
43,21,29.33,5,4,3
46,14,28,3,2,3
45,27,16,4,4,5
63,22,34,4,2,3
57,6,34,5,1,3
63,26,35.33,5,1,4
44,0,34.67,2,2,4
57,25,38,4,1,4
31,6,39.33,2,3,1
47,7,31.33,3,3,1
43,13,30,3,3,1
34,0,32.67,4,3,1
52,20,36,5,3,1
64,25,31.33,4,2,1
34,5,28.67,4,4,2
52,10,32.67,5,4,2
39,10,33.33,3,3,2
67,12,16,5,3,2
56,15,37.33,4,2,2
45,6,34.67,4,1,2
39,13,26,3,4,3
46,8,36,3,2,3
53,0,37.33,4,2,3
63,27,26,5,2,3
71,21,44,4,1,3
64,20,34.67,5,5,4
42,20,34,5,1,4
39,15,19.33,5,3,5
34,5,24.67,3,4,1
55,15,37.33,5,4,1
54,11,34.67,4,1,2
35,9,24,3,4,3
39,4,26,3,2,3
39,12,25.33,3,2,3
54,26,40.67,3,1,3
64,21,33.33,5,1,3
61,21,36.67,5,1,3
46,6,28,3,2,4
64,14,39.33,4,1,4
72,24,38,4,1,4
46,25,43.33,5,1,4
46,12,30.67,3,3,2
65,18,36.67,4,1,2
64,17,32,5,3,3
36,10,30,4,5,4
60,25,36.67,4,3,4
65,24,42.67,5,2,4
61,19,37.33,5,1,4
64,23,34.67,5,1,4
46,13,42,3,4,2
44,8,20.67,3,4,3
48,10,30,4,3,3
49,15,21.33,3,3,4
38,21,34,4,3,2
58,19,32.67,4,1,3
59,25,32,4,4,4
60,9,34.67,3,2,1
65,24,38.67,3,3,4
53,15,34,4,5,5
45,3,21.33,3,4,1
46,19,32.67,3,4,1
60,6,39.33,2,3,1
63,25,40.67,3,3,1
43,12,36.67,1,2,1
47,7,25.33,3,2,1
45,6,28,4,2,1
60,14,34.67,4,2,1
63,21,32,4,1,1
46,0,38.67,2,4,2
46,5,22.67,2,4,2
39,16,35.33,2,4,2
45,12,30.67,3,3,2
46,11,29.33,4,3,2
47,20,27.33,4,3,2
48,8,35.33,4,2,2
42,21,27.33,4,2,2
39,25,18,4,2,2
63,22,38.67,5,2,2
62,20,38.67,4,1,2
60,20,39.33,4,1,2
66,21,44,4,1,2
48,10,39.33,5,1,2
66,27,40,5,1,2
37,8,28.67,3,4,3
58,17,40.67,5,4,3
42,14,32,4,3,3
70,15,39.33,4,3,3
57,18,38,4,3,3
50,19,29.33,4,3,3
57,24,36.67,4,3,3
52,11,35.33,4,2,3
58,15,32.67,4,2,3
72,25,31.33,4,2,3
68,25,24,5,2,3
62,26,38.67,5,2,3
48,1,24.67,2,1,3
43,8,32.67,4,1,3
42,8,35.33,4,1,3
59,13,38.67,4,1,3
57,16,40.67,4,1,3
54,19,36,4,1,3
72,20,38.67,5,1,3
65,24,44,5,1,3
71,27,44,5,1,3
61,7,36,5,3,4
61,23,34,4,2,4
46,4,26.67,5,2,4
54,23,36.67,5,2,4
40,17,26.67,4,1,4
68,25,35.33,4,1,4
65,27,33.33,5,1,4
58,5,34.67,5,5,5
58,19,41.33,5,4,5
54,17,35.33,5,2,5
63,15,31.33,5,1,5
62,25,34.67,5,1,5
60,17,27.33,4,3,1
36,6,34.67,5,3,1
50,14,32,2,3,2
35,11,31.33,4,3,2
48,20,37.33,4,3,2
50,12,32.67,3,2,2
58,17,34,4,2,2
42,18,32,4,2,2
67,24,46.67,4,2,2
44,10,28.67,5,2,2
50,16,40,3,1,2
63,16,36,4,1,2
68,22,44.67,5,1,2
39,7,32.67,4,5,3
63,12,36.67,3,3,3
47,20,36,3,3,3
38,23,27.33,3,3,3
46,13,38,4,3,3
35,14,31.33,4,3,3
43,25,30.67,4,3,3
68,21,38.67,4,2,3
55,23,38,4,2,3
71,25,44,5,2,3
39,20,30,5,1,3
62,20,38.67,5,1,3
63,21,38.67,5,1,3
51,4,32,2,5,4
57,14,37.33,5,5,4
63,17,36,4,2,4
63,21,32.67,4,2,4
48,21,33.33,4,2,4
53,22,16,4,2,4
69,26,42,5,2,4
65,27,36,5,2,4
66,21,38,3,1,4
49,22,29.33,4,1,4
71,26,40.67,4,1,4
57,19,32.67,5,1,4
46,25,34.67,5,1,4
61,26,42.67,5,1,4
54,21,30.67,5,2,5
63,24,46.67,5,2,5
47,16,24.67,4,1,5
59,19,36.67,5,1,5
69,26,40,5,1,5
57,9,30.67,3,4,1
37,6,22.67,2,2,1
37,16,19.33,4,1,2
49,16,32,4,1,2
44,8,30.67,3,3,3
67,22,37.33,4,3,3
44,22,36,4,2,3
58,23,34.67,4,2,3
58,23,38,4,2,3
64,18,34.67,4,1,3
48,23,38.67,4,1,3
60,22,35.33,5,1,3
72,27,38,4,3,4
51,18,30.67,4,2,4
60,21,40,4,2,4
45,1,34.67,4,2,5
63,27,33.33,5,2,5
55,23,33.33,5,1,5
53,7,34,3,1,1
54,3,28,4,5,2
57,23,42,5,3,2
54,8,32,3,2,2
34,15,17.33,5,2,2
60,10,34,5,1,2
56,12,42.67,5,3,3
65,27,44.67,5,3,3
49,26,30.67,3,2,3
34,6,16,4,2,3
60,22,31.33,5,2,3
58,22,32.67,5,2,3
67,27,34,5,2,3
45,5,28.67,4,1,3
64,27,40.67,5,1,3
45,22,37.33,5,3,4
59,21,36,5,2,4
71,27,39.33,4,1,4
48,14,33.33,4,4,2
69,27,41.33,5,1,2
42,20,21.33,5,5,5
48,26,18.67,5,1,5
28,5,24.67,2,3,1
57,22,25.33,4,4,5
56,23,40.67,5,2,5
62,20,35.33,2,5,1
40,3,24.67,1,3,1
54,10,36.67,3,3,1
44,11,14.67,5,3,1
41,3,24,3,2,1
67,20,36,5,2,1
35,4,28,2,5,2
40,11,29.33,3,5,2
41,15,34,3,5,2
34,1,18.67,2,3,2
47,15,27.33,2,3,2
49,13,33.33,3,3,2
67,22,36.67,4,3,2
54,19,35.33,4,2,2
62,20,32.67,4,2,2
59,20,38.67,4,2,2
59,22,34.67,4,2,2
65,17,37.33,2,1,2
60,26,31.33,3,1,2
36,8,27.33,4,1,2
49,11,28.67,4,1,2
56,21,37.33,4,1,2
51,22,36,5,1,2
42,4,32,2,4,3
48,8,32,2,4,3
43,23,31.33,3,4,3
58,8,41.33,5,4,3
41,9,20.67,3,3,3
51,17,26,3,3,3
59,13,38,3,2,3
48,19,27.33,5,2,3
54,20,40.67,5,2,3
63,23,30.67,5,2,3
53,20,27.33,3,1,3
41,21,36,3,1,3
53,17,38,4,1,3
68,19,42.67,4,1,3
54,14,39.33,5,1,3
50,19,39.33,5,1,3
53,24,36.67,5,1,3
65,27,26,5,1,3
68,27,38,5,1,3
44,24,28.67,5,5,4
55,12,35.33,3,3,4
55,8,35.33,4,3,4
63,20,37.33,4,3,4
51,14,28.67,3,2,4
67,15,38,4,2,4
54,21,36.67,4,2,4
67,25,41.33,5,2,4
43,3,23.33,4,1,4
67,27,37.33,4,1,4
64,14,37.33,5,1,4
60,20,44.67,5,1,4
59,23,38,5,1,4
60,26,36,5,1,4
68,20,39.33,4,2,5
49,20,40,5,2,5
36,9,30.67,2,3,1
32,6,30.67,4,3,1
62,17,35.33,5,2,1
53,9,31.33,3,4,2
38,18,19.33,2,2,2
27,2,31.33,3,2,2
36,6,23.33,4,2,2
64,17,37.33,4,2,2
65,16,40.67,5,2,2
59,20,38.67,5,2,2
42,7,32.67,2,4,3
34,2,32,3,4,3
67,20,38,4,3,3
65,24,41.33,4,3,3
53,7,14.67,5,3,3
43,11,27.33,5,3,3
60,17,37.33,5,3,3
50,12,35.33,3,2,3
55,19,35.33,3,2,3
66,17,42,4,2,3
49,21,36.67,5,2,3
51,22,36,3,1,3
61,22,41.33,3,1,3
47,17,29.33,4,1,3
63,25,40,4,1,3
62,16,35.33,5,1,3
50,18,31.33,3,4,4
48,22,30.67,3,4,4
47,15,25.33,4,4,4
43,13,30.67,3,3,4
68,24,33.33,4,3,4
55,21,28.67,5,3,4
61,20,40.67,4,1,4
68,25,36,5,1,4
69,25,40.67,5,1,4
60,27,36.67,5,2,5
61,27,42.67,4,1,5
63,14,41.33,5,1,5
49,13,28.67,4,2,1
60,18,38,5,2,1
40,11,29.33,3,4,2
54,17,38,4,3,2
59,8,35.33,3,2,2
64,22,40.67,3,2,2
69,23,36.67,4,2,2
62,26,31.33,3,1,2
48,14,31.33,3,3,3
60,14,40,4,3,3
40,14,18.67,3,2,3
63,9,37.33,4,2,3
71,26,37.33,5,2,3
62,19,31.33,5,1,3
58,24,38.67,5,1,3
59,12,36,4,5,4
61,27,32,4,2,4
38,27,29.33,4,1,4
58,22,36.67,5,1,4
68,25,39.33,5,1,4
69,27,42,5,1,4
43,11,27.33,4,5,5
65,20,37.33,5,3,5
44,23,22.67,5,1,5
39,18,22.67,3,3,1
60,18,32.67,4,3,1
60,25,35.33,5,3,1
38,12,16.67,3,3,2
43,12,26.67,3,4,3
62,9,34,2,2,3
49,5,31.33,4,2,3
61,18,29.33,5,2,3
64,26,31.33,5,1,3
60,27,38.67,5,2,4
53,1,34.67,5,1,4
66,21,34.67,5,1,4
66,20,39.33,4,5,3
45,11,34,5,2,3
59,24,28.67,4,1,3
53,26,27.33,4,1,3
54,17,35.33,4,2,4
55,21,24,4,1,4
53,19,16,5,5,5
41,15,23.33,5,1,5
40,9,29.33,3,3,1
60,10,34.67,5,2,2
57,16,40,5,1,2
56,23,37.33,5,1,4
49,15,34,3,1,5
61,26,40.67,5,1,5
59,9,14.67,3,4,1
38,16,36.67,4,1,1
44,24,26,5,1,4
51,11,23.33,2,4,1
63,23,26.67,3,4,2
63,22,36,5,1,3
38,5,17.33,5,3,4
51,22,24.67,4,1,1
51,15,29.33,4,3,4
63,27,40,4,2,5
55,12,19.33,5,1,5
37,1,24,3,5,1
54,2,28.67,3,4,1
49,1,22,5,4,1
45,9,20.67,2,3,1
37,1,20.67,3,3,1
44,1,28.67,3,3,1
43,2,32,3,3,1
36,8,31.33,5,3,1
68,11,43.33,5,3,1
65,16,39.33,5,3,1
51,4,36.67,5,2,1
68,24,36,5,2,1
49,18,32.67,3,1,1
51,14,36,4,1,1
62,24,38.67,4,1,1
41,6,22.67,1,5,2
42,7,33.33,2,4,2
66,13,34,3,4,2
54,9,37.33,4,4,2
65,20,26,4,4,2
58,4,37.33,3,3,2
54,12,31.33,3,3,2
70,6,40,4,3,2
45,7,30,3,2,2
61,16,38.67,3,2,2
49,22,44.67,3,2,2
57,5,40,4,2,2
67,14,36.67,4,2,2
57,16,37.33,4,2,2
54,3,41.33,5,2,2
50,14,40.67,3,1,2
55,18,33.33,3,1,2
69,19,28.67,3,1,2
51,16,28,4,1,2
71,23,35.33,4,1,2
34,0,26,3,4,3
60,3,38,3,4,3
54,8,40,3,4,3
39,10,31.33,3,4,3
35,11,26.67,4,4,3
46,11,29.33,4,4,3
46,14,28.67,4,4,3
38,16,29.33,5,4,3
51,14,34,4,3,3
54,16,34,4,3,3
66,16,40.67,4,3,3
31,1,34.67,5,3,3
34,20,17.33,5,3,3
61,11,38.67,4,2,3
62,20,30.67,4,2,3
50,2,32.67,2,1,3
70,19,45.33,4,1,3
71,25,40,4,1,3
57,6,40.67,5,1,3
53,12,38.67,5,1,3
72,17,40.67,5,1,3
51,20,39.33,5,1,3
54,20,40,5,1,3
62,21,40.67,5,1,3
71,26,37.33,5,1,3
69,26,42.67,5,1,3
69,22,41.33,5,4,4
45,11,30,4,3,4
64,17,37.33,5,3,4
56,21,42,3,2,4
40,6,33.33,4,2,4
39,22,27.33,5,2,4
67,27,40,5,2,4
59,10,39.33,5,1,4
43,15,31.33,5,1,4
69,23,36.67,5,1,4
31,3,18.67,4,5,5
52,12,38.67,5,3,5
58,27,34.67,5,2,5
61,24,19.33,5,1,5
42,3,36,4,5,1
43,17,26.67,4,5,2
53,14,42.67,5,4,2
49,18,37.33,3,3,2
52,7,33.33,4,2,2
50,20,26.67,5,2,2
37,7,23.33,3,1,2
57,12,32.67,4,1,2
50,15,38.67,4,1,2
70,20,43.33,4,1,2
52,22,42.67,4,1,2
68,27,40.67,5,1,2
37,4,19.33,2,4,3
39,11,26,3,4,3
47,8,35.33,4,4,3
50,16,36.67,3,3,3
61,22,34,5,3,3
56,24,41.33,5,3,3
52,3,34.67,2,2,3
45,9,28,3,2,3
60,9,36.67,3,2,3
71,24,43.33,3,2,3
45,8,32.67,4,2,3
60,21,28,3,1,3
60,10,38.67,4,1,3
49,11,28,4,1,3
64,16,28,4,1,3
50,24,21.33,4,1,3
63,27,41.33,4,1,3
42,0,20.67,3,4,4
48,15,36.67,3,3,4
48,10,32,4,2,4
52,13,28,4,2,4
68,24,45.33,4,2,4
61,20,35.33,4,1,4
71,26,44,4,1,4
48,18,38.67,5,1,4
56,9,35.33,4,1,5
65,19,30.67,5,1,5
46,21,36.67,5,1,5
60,24,40,5,1,5
60,13,37.33,4,1,1
66,16,42,4,1,1
38,17,22.67,5,1,1
63,14,34,4,5,2
63,13,44.67,4,1,2
65,15,38,5,1,2
60,22,32,5,2,3
58,17,35.33,4,1,3
65,26,38.67,4,1,3
71,25,40,5,1,3
41,6,34,2,4,4
39,23,34.67,4,2,4
70,25,40,4,2,4
52,21,38,4,1,4
49,25,32.67,4,1,4
62,23,42.67,5,1,4
62,27,37.33,5,1,4
54,1,38,5,5,5
55,18,32,5,2,5
52,9,35.33,5,1,5
67,23,36.67,5,1,5
61,24,40,5,1,5
62,15,38.67,5,5,1
43,21,30.67,5,5,1
54,7,33.33,2,3,1
69,27,37.33,5,1,1
51,15,36.67,5,1,2
39,10,30,5,3,3
56,15,40,5,2,3
54,20,29.33,4,1,3
68,9,44,5,1,3
47,23,32,5,1,3
54,19,38,4,2,4
68,13,35.33,5,1,4
63,26,36,5,1,4
64,27,38,5,5,5
69,26,38.67,5,1,5
45,12,25.33,3,4,2
50,27,41.33,2,1,2
54,6,32.67,3,3,3
54,24,33.33,5,3,3
38,7,31.33,4,2,3
50,20,19.33,4,2,4
45,10,18,4,1,5
61,25,36.67,5,4,4
54,19,33.33,5,1,4
41,19,22,5,5,5
64,19,34,5,5,5
65,22,38.67,5,1,5
34,14,28,4,4,3
67,18,40.67,5,5,4
63,13,32,5,1,4
38,10,29.33,5,1,2
